strategy,round,labeled_size,median_qerror,p90_qerror,p95_qerror
random,1,2000,6.843609847384894,31.830547357296595,36.60019499525964
random,2,2185,11.36348190205755,167.3992571371766,170.27779153292352
random,3,2371,12.706451769033444,182.1776364803163,204.4308014654071
random,4,2562,7.839151425022383,58.7068986008833,85.21729738988502
random,5,2748,6.2230756155167475,42.10569026685965,71.65023783741341
random,6,2931,4.731587609475107,33.931804980927566,68.88713663465401
random,7,3119,5.346204504544057,42.22212344069239,94.17831014030145
random,8,3303,3.6243939463462085,17.597976953663615,43.213098425446496
random,9,3487,3.4957517959698863,13.91128947521198,30.402211920307597
random,10,3679,3.0543217533565743,13.911496369216009,30.288819122480042
random,11,3870,2.671773055594839,10.543085994751014,25.500784867243976
random,12,4056,2.311536389608146,8.554151322397054,19.039230397466067
random,13,4242,2.0377581338346316,7.546153771564275,19.620380306067077
random,14,4430,1.9776707664159625,6.588813035804288,17.688313903728783
random,15,4617,2.4372147072486983,6.656948891080411,19.044456440888236
random,16,4799,1.707170004616994,5.143479396586835,11.973654959032816
random,17,4990,1.628875976456392,4.537166038322973,10.2833816077491
random,18,5174,13.240290259187464,89.62405105551174,89.62405105551174
random,19,5363,6.389158591899488,67.1738763846303,67.1738763846303
random,20,5549,4.043749897929382,52.929336512730686,52.929336512730686
mc_dropout,1,2000,6.843609847384894,31.830547357296595,36.60019499525964
mc_dropout,2,2197,7.315056487519452,16.64206845903998,24.111714220868524
mc_dropout,3,2391,6.244733623599628,16.600020000901054,20.53650315364776
mc_dropout,4,2587,8.532144944476913,92.46623910984317,95.9912746487304
mc_dropout,5,2784,5.966227227501973,65.22912930599611,88.62423956991375
mc_dropout,6,2982,3.475349272416352,37.20973278095086,63.229439931897986
mc_dropout,7,3179,3.5655209145980438,30.429709988483996,61.333463874394106
mc_dropout,8,3379,3.6624905545676096,20.939811946127996,35.3302892315951
mc_dropout,9,3577,3.551366794992857,17.28542195501374,31.975314996592672
mc_dropout,10,3775,3.6609670815217163,14.037149794324312,29.893890391960714
mc_dropout,11,3967,3.6558562686127565,15.584429901977613,100.5178637734415
mc_dropout,12,4162,2.6432171283966728,10.49700427066799,82.07394969074583
mc_dropout,13,4356,2.706476026975297,11.322757449436468,77.14969204707401
mc_dropout,14,4551,2.480217940130867,10.802769263291406,67.51864589850317
mc_dropout,15,4741,2.2013177735477036,9.790789572353827,43.1268231384101
mc_dropout,16,4930,2.1570022167187997,8.87215767928152,36.76450045700115
mc_dropout,17,5118,2.069757174392936,7.251981597516684,22.728751262184893
mc_dropout,18,5308,1.9373252236831529,6.340579028274459,20.556170227998106
mc_dropout,19,5498,1.788934740786381,5.941124469589816,19.504748324434377
mc_dropout,20,5682,1.8143681206628113,5.620796689084325,19.173507048756647
